id,postal_code,postal_zone,city_id:id,zone_type,neighborhoods,villages,active
postal_418047,418047,4180,state_co_817,rural,"","A MONDEGAL- BAJO MONDEGAL-  BELLAVISTA-  C. CHIQUITA-  CAMPOALEGRE-  EL CARMEN-  EL CARMEN-  EL PLAYON-  GUADUALES-  INDEPENDENCIA-  MARQUESA-  MORTIÑO-  PRIMAVERA-  SAN LORENZO-  VICTORIA",True
postal_056847,056847,0568,state_co_226,rural,"","Alta Vista- Asesi-  Bella Aguada-  Chochal-  El Filo-  El Playon-  El Tambor (Cabecera Municipal)-  La Cortada-  La Manga-  La Noque-  Los Pinos-  Los Sauces",True
postal_735538,735538,7355,state_co_1195,rural,"","Cabecera Municipal- Cajamarca-Legía-  Carrasposo-  Desierto -Peña Lisa-  El Cural-  El Potro-  El Salado-  El Silencio-  El Vino-  Florida Baja-  La Cristalina-  La Julia-  La Laguna-  Las Delicias-  Las Juntas-  Legía Baja-  Los Lirios-  Lugo Alto-  Mese",True
postal_683019,683019,6830,state_co_1098,rural,"","Agua Fría- Gualilos-  Morario-  San Pedro-  San Pedro",True
postal_080006,080006,0800,state_co_326,urban,"Alboraya- Bella Arena- Boyacá- Buenos Aires- El Campito- El Limón- El Milagro- José Antonio Galán- La Magdalena- La Unión- Las Palmas- Los Laureles- San José- San Nicolás- Tayrona- Universal- Villa Blanca","",True
postal_201048,201048,2010,state_co_605,rural,"","El Dividivi- Las Plandas-  San Rafael",True
postal_110231,110231,1102,state_co_349,urban,"Bosque Calderón- Cataluña- Chapinero Central- Chapinero Norte- El Paraíso- Emaus- Granada- Hoya Teusaca- Ingemar- Ingemar Oriental- Ingemar Oriental I- Ingemar Oriental Rural- Juan XXIII- La Salle- Las Acacias- Marly- María Cristina- Pardo Rubio- Quinta C","",True
postal_055020,055020,0550,state_co_266,urban,"","Cabecera Municipal- La Almeria-  La Concha-  Quebrada Negra-  Vallejuelito",True
postal_273077,273077,2730,state_co_797,rural,"","",True
postal_153207,153207,1532,state_co_501,rural,"","",True
postal_203067,203067,2030,state_co_610,rural,"","Bella Vista- Cabecera Municipal-  Caño Grande-  Caño Largo-  Champan-  Dos de Mayo-  El Bolsillo-  El Cocli-  El Espejo-  El Mamey-  El Palmar-  El Triunfo-  Galaxia-  La Carolina-  La Conga-  La Conquista 2-  La Conquista No 1-  La Libertad-  La Mocha-",True
postal_252848,252848,2528,state_co_754,rural,"","ARMENIA",True
postal_152001,152001,1520,state_co_449,urban,"","",True
postal_446009,446009,4460,state_co_842,rural,"","",True
postal_634001,634001,6340,state_co_1022,urban,"","",True
postal_194028,194028,1940,state_co_577,rural,"","El Cucharro- El Oso-  El Placerderrumbe-  Garay-  La Pintada-  Loma Grande-  Los Planes",True
postal_412020,412020,4120,state_co_830,urban,"","",True
postal_053838,053838,0538,state_co_298,rural,"","Agua Bonita- El Chico-  El Diamante-  El Golgota-  La Florida-  La Iraca-  Las Divisas-  Las Flores-  Santa Cruz",True
postal_680001,680001,6800,state_co_1043,urban,"Altos del Kennedy- Bosque Norte- Café Madrid- Chapinero- Cinal III Etapa- Colseguros Norte- Comuneros- El Cinar- El Plan- José María Córdoba- Kennedy- La Esperanza I- La Esperanza II- La Esperanza III- La Independencia- La Juventud- Las Hamacas- Las Olas-","Los Santos",True
postal_151201,151201,1512,state_co_479,urban,"","",True
postal_525068,525068,5250,state_co_950,rural,"","",True
postal_055840,055840,0558,state_co_205,urban,"","",True
postal_855039,855039,8550,state_co_1270,rural,"","Buenos Aires Alto- Buenos Aires Bajo-  El Viso-  Mararabe-  Puerto Mirian-  Vegas del Upia",True
postal_852058,852058,8520,state_co_1262,rural,"Alcaravan","Agualinda- Altamira-  Bocas de Pore-  Cabecera Municipal-  Cafifies-  Curimina-  Guachiria-  Guamal-  Guanabanas-  La Curama-  La Jasse-  La Macoya-  La Mapora-  La Mesa-  La Plata-  La Sequi-  Matapalo-  Miralindo-  Regalito-  San Pedro de Guachira-  Tas",True
postal_417038,417038,4170,state_co_826,rural,"","",True
postal_971007,971007,9710,state_co_1315,rural,"","",True
