id,code,name
lavish_hr_payroll.cie10_f91,F91,Trastornos de la conducta
lavish_hr_payroll.cie10_f92,F92,Trastornos mixtos de la conducta y de las emociones
lavish_hr_payroll.cie10_f93,F93,Trastornos emocionales de comienzo especifico en la ninez
lavish_hr_payroll.cie10_f94,F94,Trastornos del comportamiento social de comienzo especifico en la ninez y en la adolescencia
lavish_hr_payroll.cie10_f95,F95,Trastornos por tics
lavish_hr_payroll.cie10_f98,F98,Otros trastornos emocionales y del comportamiento que aparecen habitualmente en la ninez y en la adolescencia
lavish_hr_payroll.cie10_f99,F99,Trastorno mental no especificado
lavish_hr_payroll.cie10_g00,G00,Meningitis bacteriana no clasificada en otra parte
lavish_hr_payroll.cie10_g01,G01,Meningitis en enfermedades bacterianas clasificadas en otra parte
lavish_hr_payroll.cie10_g02,G02,Meningitis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte
lavish_hr_payroll.cie10_g03,G03,Meningitis debida a otras causas y a las no especificadas
lavish_hr_payroll.cie10_g04,G04,Encefalitis mielitis y encefalomielitis
lavish_hr_payroll.cie10_g05,G05,Encefalitis mielitis y encefalomielitis en enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_g06,G06,Absceso y granuloma intracraneal e intrarraquideo
lavish_hr_payroll.cie10_g07,G07,Absceso y granuloma intracraneal e intrarraquideo en enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_g08,G08,Flebitis y tromboflebitis intracraneal e intrarraquidea
lavish_hr_payroll.cie10_g09,G09,Secuelas de enfermedades inflamatorias del sistema nervioso central
lavish_hr_payroll.cie10_g10,G10,Enfermedad de Huntington
lavish_hr_payroll.cie10_g11,G11,Ataxia hereditaria
lavish_hr_payroll.cie10_g12,G12,Atrofia muscular espinal y sindromes afines
lavish_hr_payroll.cie10_g13,G13,Atrofias sistemicas que afectan primariamente el sistema nervioso central en enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_g20,G20,Enfermedad de Parkinson
